Brewery_Beer,Type_Names,Type_Counts,Style,Location,Country,Date
Founders Dank Wood Imperial Red,Ale,3231,Wood- and Barrel-aged Strong Beer,United States - Michigan,United States ,7/30/18
Gigantic Ginormous IPA,IPA,673,Imperial or Double IPA,United States - Oregon,United States ,7/31/18
Prairie Artisan Twist Saison,Porter,459,Classic Saison,United States - Oklahoma,United States ,7/30/18
Alpine Duet,Stout,725,American-Style IPA,United States - California,United States ,7/30/18
Crane Raytown Common,Lambic,69,California Common Beer,United States - Missouri,United States ,7/30/18
Infusion (Southwest) Nelson Galaxy IPA,Sour,33,American-Style IPA,United States - Nebraska,United States ,7/26/18
Kros Strain Hop Streaker,Hefeweizen,290,Session Beer,United States - Nebraska,United States ,7/25/18
Kros Strain Bo Pils,Saison,112,Bohemian-Style Pilsener,United States - Nebraska,United States ,7/25/18
Scratchtown Prairie Fire Smoked Schwarzbier,Bitter,368,Smoke-Flavored Beer,United States - Nebraska,United States ,7/25/18
Bootleg Toasted Wheat,Tripel,126,Light American Wheat Beer with Yeast,United States - Nebraska,United States ,7/25/18
Bootleg Cling On American Wheat,Kölsch,103,Light American Wheat Beer with Yeast,United States - Nebraska,United States ,7/25/18
Millstream John's White Ale,Oktoberfest,228,Belgian Style White (or Wit) / Belgian-Style Wheat,United States - Iowa,United States ,7/22/18
Ommegang Queen of Seven Kingdoms,Dunkel,204,Belgian-Style Sour Ale,United States - New York,United States ,7/22/18
Odell Rupture IPA,Pilsener,458,American-Style IPA,United States - Colorado,United States ,7/22/18
Boon Geuze Mariage Parfait 2013,Wit,382,Belgian-Style Gueuze Lambic,Belgium - Vlaams Brabant,Belgium ,7/20/18
Freehouse No. 43 Hefeweizen,Bock,427,South German-Style Hefeweizen/Hefeweissbier,United States - Minnesota,United States ,7/15/18
Freehouse No. 1 Kölsch,Cider,16,German-Style Kölsch/Köln-Style Kölsch,United States - Minnesota,United States ,7/15/18
Maple Island Sandbar Summer Ale,Weissbier,384,American-Style Pale Ale,United States - Minnesota,United States ,7/14/18
Maple Island Burlesque Kolsch,Beer,1302,German-Style Kölsch/Köln-Style Kölsch,United States - Minnesota,United States ,7/14/18
Prairie Pride Wind Devil Red IPA,,,American-Style IPA,United States - Nebraska,United States ,7/4/18
Prairie Pride Lip Kick,,,Strong Ale,United States - Nebraska,United States ,7/4/18
Prairie Pride Out West Pale Ale,,,American-Style Pale Ale,United States - Nebraska,United States ,7/4/18
Odell Sunny Rain Golden Tart,,,Specialty Beer,United States - Colorado,United States ,7/3/18
White Elm American Outlaw,,,Session Beer,United States - Nebraska,United States ,7/3/18
Three Floyds Zombie Dust,,,American-Style Strong Pale Ale,United States - Indiana,United States ,7/3/18
Boulevard 80 Shilling,,,Scottish-Style Export Ale,United States - Missouri,United States ,6/24/18
Boulevard Dry-Hopped Helles,,,Specialty Beer,United States - Missouri,United States ,6/24/18
Sierra Nevada Tropical Torpedo,,,American-Style IPA,United States - California,United States ,6/24/18
Zipline Gettin' Down,,,Imperial or Double IPA,United States - Nebraska,United States ,6/22/18
Anchor Brewers Pale Ale,,,American-Style Pale Ale,United States - California,United States ,6/17/18
Thunderhead Smoked Porter,,,Smoke-Flavored Beer,United States - Nebraska,United States ,6/14/18
Thunderhead Russian Imperial Stout,,,Wood- and Barrel-Aged Strong Stout,United States - Nebraska,United States ,6/14/18
Thunderhead Dry Irish Stout,,,Classic Irish-Style Dry Stout,United States - Nebraska,United States ,6/14/18
Thunderhead Frost Warning New England Style IPA,,,American-Style IPA,United States - Nebraska,United States ,6/14/18
Vis Major Shony's Favor,,,Scottish-Style Ale,United States - Nebraska,United States ,6/9/18
Vis Major If This Be Treason New England Style IPA,,,American-Style IPA,United States - Nebraska,United States ,6/9/18
Vis Major Monk's Chalice,,,Belgian-Style Tripel,United States - Nebraska,United States ,6/9/18
Vis Major The Golden,,,South German-Style Hefeweizen/Hefeweissbier,United States - Nebraska,United States ,6/9/18
Vis Major Wooden Dowser,,,Wood- and Barrel-Aged Strong Stout,United States - Nebraska,United States ,6/9/18
Scriptown Lone Tree XPA,,,American-Style Pale Ale,United States - Nebraska,United States ,6/6/18
"Scriptown Thanks, Chad! Hoppy Wheat",,,Specialty Beer,United States - Nebraska,United States ,6/6/18
Scriptown Sommer Kölsch,,,German-Style Kölsch/Köln-Style Kölsch,United States - Nebraska,United States ,6/6/18
5168 Big Love Pilsner,,,American-Style Pilsener,United States - Nebraska,United States ,5/29/18
White Elm Still Life Lager,,,American Lager/Ale or Cream Ale,United States - Nebraska,United States ,5/29/18
Prairie Pride Trouble In Dublin,,,Irish-Style Red Ale,United States - Nebraska,United States ,5/29/18
Prairie Pride Märzen Stolz,,,German-Style Märzen/Oktoberfest,United States - Nebraska,United States ,7/4/18
Backswing Brown Ale,,,American-Style Brown Ale,United States - Nebraska,United States ,5/29/18
Pint Nine Ryce Lager,,,American Lager/Ale or Cream Ale,United States - Nebraska,United States ,5/26/18
Pint Nine Irish Stout,,,Classic Irish-Style Dry Stout,United States - Nebraska,United States ,5/26/18
Pint Nine 3 Lions English Bitter,,,(Special) Best Bitter,United States - Nebraska,United States ,5/26/18
Brickway Red Lager,,,American-Style Amber Lager or Dark Lager,United States - Nebraska,United States ,4/29/18
Zipline Double Alt,,,German-Style Brown Ale/Düsseldorf-Style Altbier,United States - Nebraska,United States ,4/29/18
Zipline Harumeku Saison,,,Classic Saison,United States - Nebraska,United States ,4/29/18
Zipline Maibock,,,German-Style Bock or Maibock,United States - Nebraska,United States ,4/29/18
Ballast Point (Home Brew Mart) Grunion Pale Ale,,,American-Style Pale Ale,United States - California,United States ,4/25/18
Knee Deep Lupulin River,,,Imperial or Double IPA,United States - California,United States ,4/25/18
Knee Deep Simtra Triple India Pale Ale,,,Imperial or Double IPA,United States - California,United States ,4/27/18
Off Color Apex Predator,,,French & Belgian-Style Saison,United States - Illinois,United States ,4/23/18
Prairie Artisan Merica,,,American-Style Brett Ale,United States - Oklahoma,United States ,4/23/18
Prairie Artisan Phantasmagoria,,,Imperial or Double IPA,United States - Oklahoma,United States ,4/23/18
Scriptown Goatsmack Helles Bock,,,German-Style Bock or Maibock,United States - Nebraska,United States ,4/1/18
5168 O'Neill's Irish Red Ale,,,Irish-Style Red Ale,United States - Nebraska,United States ,3/29/18
"5168 Gone ""A Rye""",,,Rye Beer,United States - Nebraska,United States ,3/29/18
Altitude Problem With Authority,,,American-Style IPA,United States - Wyoming,United States ,3/26/18
Altitude Alt,,,German-Style Altbier,United States - Wyoming,United States ,3/26/18
Suds Brothers Oatmeal Stout,,,Oatmeal Stout,United States - Wyoming,United States ,3/25/18
Suds Brothers IPA,,,American-Style IPA,United States - Wyoming,United States ,3/25/18
Suds Brothers Amber,,,American-Style Amber Lager or Dark Lager,United States - Wyoming,United States ,3/25/18
Suds Brothers Bizzy Bee Heffe,,,South German-Style Hefeweizen/Hefeweissbier,United States - Wyoming,United States ,3/25/18
Suds Brothers Golden Ale,,,Golden or Blonde Ale,United States - Wyoming,United States ,3/25/18
Suds Brothers Nut Brown Ale,,,English-Style Brown Ale,United States - Wyoming,United States ,3/25/18
Odd Side Beer Me,,,American-Style Lager,United States - Michigan,United States ,2/28/18
Scriptown Josephine's Baltic Porter,,,Baltic-Style Porter,United States - Nebraska,United States ,2/12/18
Farnam House The Reaping Chardonnay Barrel Aged Wheatwine,,,Wood- and Barrel-aged Strong Beer,United States - Nebraska,United States ,2/4/18
Deschutes The Abyss,,,Imperial Stout,United States - Oregon,United States ,1/29/18
Great Divide Samurais vs Unicorns,,,American-Style Malt Liquor,United States - Colorado,United States ,1/29/18
Boulder Slopestyle Red IPA,,,American-Style IPA,United States - Colorado,United States ,1/29/18
Uinta Detour Double India Pale Ale,,,Imperial or Double IPA,United States - Utah,United States ,1/29/18
Zipline Alpha Modern,,,Session IPA,United States - Nebraska,United States ,1/29/18
Infusion (Southwest) Lucille,,,Classic Saison,United States - Nebraska,United States ,1/29/18
Founders DKML,,,Other Strong Beer,United States - Michigan,United States ,1/13/18
Sierra Nevada Knightro,,,Classic Irish-Style Dry Stout,United States - California,United States ,1/13/18
Infusion (Benson) Bavarian Lager,,,Münchner-Style Helles,United States - Nebraska,United States ,1/13/18
Infusion (Benson) Wilderer Dunkel,,,European-Style Dark/Münchner Dunkel,United States - Nebraska,United States ,1/13/18
Benson Debut IPA,,,American-Style IPA,United States - Nebraska,United States ,1/13/18
Benson Golden Rabbit Belgian Blonde,,,Belgian-Style Pale Ale,United States - Nebraska,United States ,1/13/18
Scriptown Crusher,,,Barley Wine-Style Ale,United States - Nebraska,United States ,1/3/18
Scriptown Yitz and Yotz,,,Imperial or Double IPA,United States - Nebraska,United States ,1/3/18
Scriptown St Meinrad,,,Belgian-Style Tripel,United States - Nebraska,United States ,1/3/18
Scriptown Miss Yvonne Pre-Prohibition Pilsner,,,American-Style Pilsener,United States - Nebraska,United States ,1/3/18
Scriptown Big Jim Pivo,,,European-Style Dark/Münchner Dunkel,United States - Nebraska,United States ,1/3/18
West O 6 Foot 6,,,American-Style IPA,United States - Iowa,United States ,1/1/18
Kinkaider Frame the Butcher,,,American-Style IPA,United States - Nebraska,United States ,1/1/18
Toppling Goliath Tsunami,,,American-Style Pale Ale,United States - Iowa,United States ,1/1/18
Kinkaider Hiram's Bones,,,Robust Porter,United States - Nebraska,United States ,12/31/17
Prairie Artisan Standard,,,American-Belgo-Style Ale,United States - Oklahoma,United States ,12/31/17
Knee Deep Aviator Dark Mild,,,English-Style Dark Mild Ale,United States - California,United States ,12/29/17
Code Saison,,,Classic Saison,United States - Nebraska,United States ,12/29/17
Kinkaider Dead Leaf Red Ale,,,American-Style Amber/Red Ale,United States - Nebraska,United States ,12/29/17
Prairie Artisan Prairie Noir Imperial Oatmeal,,,Imperial Stout,United States - Oklahoma,United States ,12/25/17
Destihl (Normal) Privyet,,,Imperial Stout,United States - Illinois,United States ,12/25/17
Prairie Artisan Prairie & Friends TRVE Edition,,,Belgian-Style Sour Ale,United States - Oklahoma,United States ,12/23/17
21st Amendment (San Leandro) Tasty IPA,,,American-Style IPA,United States - California,United States ,12/23/17
21st Amendment (San Leandro) Blah Blah Blah IPA,,,Imperial or Double IPA,United States - California,United States ,11/19/17
von Trapp Dunkel Lager,,,European-Style Dark/Münchner Dunkel,United States - Vermont,United States ,11/18/17
von Trapp Vienna Style Lager,,,Vienna-Style Lager,United States - Vermont,United States ,11/18/17
Scriptown Saddle Creek Wheat,,,Light American Wheat Beer with Yeast,United States - Nebraska,United States ,9/5/17
Stone Ghost Hammer IPA,,,American-Style IPA,United States - California,United States ,8/26/17
New Belgium Voodoo Ranger IPA,,,American-Style IPA,United States - Colorado,United States ,8/26/17
New Belgium Fat Tire Belgian White,,,Belgian Style White (or Wit) / Belgian-Style Wheat,United States - Colorado,United States ,8/26/17
Farnam House Unsullied Pilsner,,,German-Style Pilsener,United States - Nebraska,United States ,8/8/17
Scriptown Righteous Saison,,,French & Belgian-Style Saison,United States - Nebraska,United States ,7/31/17
Scriptown Blackstone Bitter,,,(Special) Best Bitter,United States - Nebraska,United States ,7/31/17
Scriptown Nutjob Brown Ale,,,English-Style Brown Ale,United States - Nebraska,United States ,7/31/17
Farnam House Gose,,,German-Style Sour Ale,United States - Nebraska,United States ,7/31/17
Fernson IPA,,,American-Style IPA,United States - South Dakota,United States ,7/30/17
Black Tooth Bomber Mountain,,,Irish-Style Red Ale,United States - Wyoming,United States ,7/30/17
Fernson Curio,,,Berliner-Style Weisse (Wheat),United States - South Dakota,United States ,7/30/17
Fernson Lion's Paw,,,Vienna-Style Lager,United States - South Dakota,United States ,7/30/17
Infusion (Southwest) Radial India Pale Ale,,,American-Style IPA,United States - Nebraska,United States ,7/23/17
Stillwater Stateside Saison,,,American-Belgo-Style Ale,United States - Maryland,United States ,7/23/17
Knee Deep NE Auburn Pale Ale,,,American-Style Pale Ale,United States - California,United States ,7/21/17
Toppling Goliath Dorothy's New World Lager,,,American-Style Pilsener,United States - Iowa,United States ,7/21/17
Coop Native Amber,,,American-Style Amber/Red Ale,United States - Oklahoma,United States ,7/20/17
Zipline Country White,,,Belgian Style White (or Wit) / Belgian-Style Wheat,United States - Nebraska,United States ,7/20/17
Zipline Kölsch,,,German-Style Kölsch/Köln-Style Kölsch,United States - Nebraska,United States ,7/20/17
Coop Elevator Wheat,,,South German-Style Hefeweizen/Hefeweissbier,United States - Oklahoma,United States ,7/19/17
Peace Tree Sure Shot,,,German-Style Kölsch/Köln-Style Kölsch,United States - Iowa,United States ,7/20/17
Backswing Wheat,,,South German-Style Hefeweizen/Hefeweissbier,United States - Nebraska,United States ,7/18/17
JW Lees Harvest Ale 2007,,,Old Ale,United Kingdom - Manchester,United Kingdom ,7/9/17
JW Lees Harvest Ale 2009,,,Old Ale,United Kingdom - Manchester,United Kingdom ,7/9/17
Saint Francis Pride,,,Imperial Stout,United States - Wisconsin,United States ,7/9/17
Alaskan Smoked Porter 2015,,,Smoke-Flavored Beer,United States - Alaska,United States ,7/9/17
Black Husky Milk Stout,,,Sweet Stout or Cream Stout,United States - Wisconsin,United States ,7/8/17
Toppling Goliath pseudoSue,,,American-Style Pale Ale,United States - Iowa,United States ,7/4/17
Pint Nine Session Red,,,Session Beer,United States - Nebraska,United States ,6/30/17
Pint Nine Pale Ale,,,American-Style Pale Ale,United States - Nebraska,United States ,6/30/17
Kros Strain Fairy Nectar Project — London,,,American-Style IPA,United States - Nebraska,United States ,6/30/17
Kros Strain Fairy Nectar IPA,,,American-Style IPA,United States - Nebraska,United States ,6/30/17
Leinenkugel IPL / India Pale Lager,,,Specialty Beer,United States - Wisconsin,United States ,6/30/17
Ale Asylum Demento Session Pale Ale,,,Session Beer,United States - Wisconsin,United States ,6/30/17
Kros Strain Dark Paradise Amber,,,American-Style Amber Lager or Dark Lager,United States - Nebraska,United States ,6/23/17
Kros Strain Helles Creek,,,Münchner-Style Helles,United States - Nebraska,United States ,6/23/17
White Elm LNK Common,,,California Common Beer,United States - Nebraska,United States ,6/19/17
Weihenstephaner Kristallweizenbock,,,South German-Style Weizenbock/Weissbock,Germany - Bayern,Germany ,5/31/17
Sierra Nevada Hop Hunter IPA,,,Fresh Hop Ale,United States - California,United States ,5/29/17
Widmer Upheaval IPA,,,American-Style IPA,United States - Oregon,United States ,5/29/17
Against the Grain #poundsign,,,American-Style Lager,United States - Kentucky,United States ,5/29/17
Lucky Bucket Jug Thumper,,,American-Style Brown Ale,United States - Nebraska,United States ,5/29/17
New Glarus Scream IIPA,,,Imperial or Double IPA,United States - Wisconsin,United States ,5/29/17
Prost Maibock,,,German-Style Bock or Maibock,United States - Colorado,United States ,5/29/17
Ayinger Bairisch Pils (formerly Premium-Pils),,,German-Style Pilsener,Germany - Bayern,Germany ,5/31/17
Deschutes Hop Slice Summer Ale,,,American-Style Pale Ale,United States - Oregon,United States ,5/21/17
Ploughshare Tailgate Red,,,American-Style Amber/Red Ale,United States - Nebraska,United States ,5/21/17
Brau Brothers Illbebock,,,Traditional German-Style Bock,United States - Minnesota,United States ,5/21/17
Saugatuck Bonfire Brown,,,English-Style Brown Ale,United States - Michigan,United States ,5/12/17
Almanac Sunshine & Opportunity,,,American-Style Sour Ale,United States - California,United States ,5/12/17
Prairie Pride Oat Sower,,,Robust Porter,United States - Nebraska,United States ,5/6/17
Prairie Pride Wild Prairie Blonde Ale,,,Rye Beer,United States - Nebraska,United States ,5/6/17
Prairie Pride American Amber,,,American-Style Amber/Red Ale,United States - Nebraska,United States ,5/6/17
Kinkaider 4-County Pale Ale,,,American-Style Pale Ale,United States - Nebraska,United States ,5/6/17
Kinkaider Sod House Brown Ale,,,American-Style Brown Ale,United States - Nebraska,United States ,5/6/17
Kinkaider Vaquero Dark Mexican Lager,,,Vienna-Style Lager,United States - Nebraska,United States ,5/6/17
Kinkaider English Mild,,,English-Style Dark Mild Ale,United States - Nebraska,United States ,5/6/17
Kinkaider Dan the Wiser,,,German-Style Kölsch/Köln-Style Kölsch,United States - Nebraska,United States ,5/6/17
Benson Rough Draft Porter,,,Robust Porter,United States - Nebraska,United States ,4/10/17
Benson Go Big!,,,American-Style Amber/Red Ale,United States - Nebraska,United States ,4/10/17
Surly Unbridled Brett IPA,,,American-Belgo-Style Ale,United States - Minnesota,United States ,3/31/17
White Elm Saison,,,French & Belgian-Style Saison,United States - Nebraska,United States ,3/31/17
Gigantic Shazoo Imperial Milk Stout,,,Specialty Beer,United States - Oregon,United States ,3/31/17
Coop Gran Sport Porter,,,Robust Porter,United States - Oklahoma,United States ,3/31/17
Scriptown Yotus IPA,,,American-Style IPA,United States - Nebraska,United States ,3/7/17
Scriptown Belgian Curve Pale Ale,,,American-Belgo-Style Ale,United States - Nebraska,United States ,3/7/17
Scriptown Prospect Hill Robust Porter,,,Robust Porter,United States - Nebraska,United States ,3/7/17
One Barrel Banjo Cat India Black Ale,,,American-Style Black Ale,United States - Wisconsin,United States ,2/25/17
One Barrel 5th Element Rye India Pale Ale,,,Rye Beer,United States - Wisconsin,United States ,2/25/17
One Barrel Penguin Pale Ale,,,American-Style Pale Ale,United States - Wisconsin,United States ,2/25/17
One Barrel The Commuter,,,German-Style Kölsch/Köln-Style Kölsch,United States - Wisconsin,United States ,2/25/17
Scratchtown Your Father's Brother's Nephew's Cousin's Former Roommate,,,German-Style Schwarzbier,United States - Nebraska,United States ,2/22/17
Scratchtown Night Rye'dr,,,Wood- and Barrel-aged Strong Beer,United States - Nebraska,United States ,2/22/17
Scratchtown Great Odin's Raven!,,,Baltic-Style Porter,United States - Nebraska,United States ,2/20/17
Scratchtown Blowin' Smoke,,,Bamberg-Style Rauchbier,United States - Nebraska,United States ,2/22/17
Stone Pataskala Red X IPA,,,American-Style IPA,United States - California,United States ,2/22/17
Odell Tweak,,,Wood- and Barrel-Aged Strong Stout,United States - Colorado,United States ,2/20/17
Founders Lizard of Koz,,,Wood- and Barrel-Aged Strong Stout,United States - Michigan,United States ,2/20/17
Weyerbacher Sunday Morning Stout,,,Imperial Stout,United States - Pennsylvania,United States ,2/20/17
Ploughshare Percheron IPA,,,American-Style IPA,United States - Nebraska,United States ,2/20/17
Surly Abrasive Ale,,,Imperial or Double IPA,United States - Minnesota,United States ,2/20/17
Brickway Stout,,,Sweet Stout or Cream Stout,United States - Nebraska,United States ,2/18/17
Thunderhead Smoked IPA,,,Smoke-Flavored Beer,United States - Nebraska,United States ,2/18/17
White Elm Rolo,,,American-Style Pale Ale,United States - Nebraska,United States ,2/18/17
Infusion (Southwest) Wilderer Dunkel,,,European-Style Dark/Münchner Dunkel,United States - Nebraska,United States ,2/18/17
Nebraska MOAB — Mother of All Bettys,,,Wood- and Barrel-Aged Strong Stout,United States - Nebraska,United States ,2/18/17
Nebraska Mosaic IPA,,,American-Style IPA,United States - Nebraska,United States ,2/18/17
Fort Collins Far Away IPA,,,American-Style IPA,United States - Colorado,United States ,2/18/17
Zipline ESB,,,English-Style (Extra Special) Strong Bitter,United States - Nebraska,United States ,2/18/17
Deschutes Pacific Wonderland Lager,,,Bohemian-Style Pilsener,United States - Oregon,United States ,2/18/17
Crane Farmhouse IPA,,,American-Belgo-Style Ale,United States - Missouri,United States ,2/18/17
Bell's Oatsmobile Ale,,,Session Beer,United States - Michigan,United States ,2/17/17
Bell's Smitten Golden Rye Pale Ale,,,Rye Beer,United States - Michigan,United States ,2/17/17
Peace Tree Kiss from a Gose,,,German-Style Sour Ale,United States - Iowa,United States ,2/17/17
White Elm Bourbon Barrel Aged Imperial Stout,,,Wood- and Barrel-Aged Strong Stout,United States - Nebraska,United States ,2/17/17
White Elm Inverted Galaxy,,,Imperial or Double IPA,United States - Nebraska,United States ,2/17/17
White Elm Biere de Garde,,,French-Style Bière de Garde,United States - Nebraska,United States ,2/17/17
White Elm Skinny Legs American IPA,,,American-Style IPA,United States - Nebraska,United States ,2/17/17
Döllnitzer Original Ritterguts Gose,,,German-Style Sour Ale,Germany - Sachsen-Anhalt,Germany ,12/23/16
Bell's Porter,,,Robust Porter,United States - Michigan,United States ,12/23/16
Central Waters Bourbon Barrel Barleywine 2012,,,Wood- and Barrel-aged Strong Beer,United States - Wisconsin,United States ,12/23/16
Ayinger Kirta-Halbe,,,German-Style Märzen/Oktoberfest,Germany - Bayern,Germany ,12/21/16
Scriptown Muddy Mo,,,American-Style Amber/Red Ale,United States - Nebraska,United States ,11/29/16
Scriptown Heilige Namen,,,Vienna-Style Lager,United States - Nebraska,United States ,11/29/16
Scriptown Hopscotch 80/- Scottish Ale,,,Scottish-Style Ale,United States - Nebraska,United States ,11/29/16
Gordon Biersch Chum,,,American-Style Amber/Red Ale,United States - California,United States ,12/3/16
Sierra Nevada Bigfoot 2013,,,Barley Wine-Style Ale,United States - California,United States ,11/24/16
Nebraska Little Betty,,,Imperial Stout,United States - Nebraska,United States ,11/20/16
Tallgrass Songbird,,,Classic Saison,United States - Kansas,United States ,11/20/16
Hinterland Lunatic Imperial Stout,,,Imperial Stout,United States - Wisconsin,United States ,10/7/16
Thirsty Dog Old Leghumper,,,Robust Porter,United States - Ohio,United States ,9/25/16
Turoni's Thunderbold Red Amber Ale,,,American-Style Amber/Red Ale,United States - Indiana,United States ,8/25/16
Blue Blood Okhrana Imperial Stout,,,Imperial Stout,United States - Nebraska,United States ,7/30/16
Blue Blood Pernicious,,,Imperial or Double IPA,United States - Nebraska,United States ,7/30/16
Blue Blood Merciless Black IPA,,,American-Style Black Ale,United States - Nebraska,United States ,7/30/16
Blue Blood All Hopped Up,,,American-Style IPA,United States - Nebraska,United States ,7/30/16
Blue Blood Kompagnon Kolsch,,,German-Style Kölsch/Köln-Style Kölsch,United States - Nebraska,United States ,7/30/16
Cinder Block KC Weiss,,,Berliner-Style Weisse (Wheat),United States - Missouri,United States ,8/26/16
Cinder Block Coffee Hop'd,,,Coffee Flavored Beer,United States - Missouri,United States ,8/26/16
Cinder Block CBB009 Amber Ale,,,American-Style Amber/Red Ale,United States - Missouri,United States ,8/26/16
Cinder Block Hop Maven #6 IPL,,,Other Strong Beer,United States - Missouri,United States ,8/26/16
Cinder Block Unwind IPA,,,American-Style IPA,United States - Missouri,United States ,8/26/16
Cinder Block Pavers Porter,,,Robust Porter,United States - Missouri,United States ,8/25/16
Cinder Block Block IPA,,,American-Style IPA,United States - Missouri,United States ,8/26/16
Cinder Block Prime Extra Pale Ale,,,American-Style Strong Pale Ale,United States - Missouri,United States ,8/26/16
Cinder Block Weathered Wit,,,Belgian Style White (or Wit) / Belgian-Style Wheat,United States - Missouri,United States ,8/26/16
Cinder Block Northtown Native,,,Dortmunder/Export or German-Style Oktoberfest,United States - Missouri,United States ,8/26/16
Standard Black IPA,,,American-Style Black Ale,United States - Missouri,United States ,8/26/16
Standard American Brown Ale,,,American-Style Brown Ale,United States - Missouri,United States ,8/26/16
Standard Three on the Tree,,,Belgian-Style Tripel,United States - Missouri,United States ,8/26/16
Standard Red Zeppelin,,,Irish-Style Red Ale,United States - Missouri,United States ,8/26/16
Standard Honey Kölsch,,,Specialty Honey Beer,United States - Missouri,United States ,8/26/16
Standard Klassisch,,,South German-Style Hefeweizen/Hefeweissbier,United States - Missouri,United States ,8/26/16
Standard Once Upon-A-(Blonde),,,Golden or Blonde Ale,United States - Missouri,United States ,8/26/16
New Albanian (Bank Street) Hoptimus,,,Imperial or Double IPA,United States - Indiana,United States ,8/25/16
New Albanian (Bank Street) Naughty Girl,,,American-Belgo-Style Ale,United States - Indiana,United States ,8/25/16
New Albanian (Bank Street) Elector,,,Imperial or Double Red Ale,United States - Indiana,United States ,8/25/16
New Albanian (Bank Street) Knob Knee,,,German-Style Märzen/Oktoberfest,United States - Indiana,United States ,8/25/16
New Albanian (Bank Street) Frankensteiner,,,South German-Style Hefeweizen/Hefeweissbier,United States - Indiana,United States ,8/25/16
Against the Grain Bieretics,,,Specialty Beer,United States - Kentucky,United States ,8/25/16
Against the Grain Black Hearted Imp,,,Wood- and Barrel-Aged Strong Stout,United States - Kentucky,United States ,8/25/16
Against the Grain Lil' Sump Pumpin',,,Belgian-Style Abbey Ale,United States - Kentucky,United States ,8/25/16
Against the Grain Herbie Samplecock,,,French & Belgian-Style Saison,United States - Kentucky,United States ,8/25/16
Against the Grain Knot Beer,,,Specialty Beer,United States - Kentucky,United States ,8/25/16
Against the Grain Chaz Ultra,,,German-Style Kölsch/Köln-Style Kölsch,United States - Kentucky,United States ,8/25/16
Morgan Street Virgin Territory IPA,,,American-Style IPA,United States - Missouri,United States ,8/24/16
Morgan Street Oktoberfest Lager,,,German-Style Märzen/Oktoberfest,United States - Missouri,United States ,8/24/16
Morgan Street Black Bear,,,German-Style Schwarzbier,United States - Missouri,United States ,8/24/16
Morgan Street Honey Wheat,,,Specialty Honey Beer,United States - Missouri,United States ,8/24/16
Morgan Street Golden Pilsner,,,Bohemian-Style Pilsener,United States - Missouri,United States ,8/24/16
Morgan Street When Helles Freezes Over,,,Münchner-Style Helles,United States - Missouri,United States ,8/24/16
Flat Branch Oil Change Stout,,,Oatmeal Stout,United States - Missouri,United States ,8/24/16
Flat Branch Brown Ale,,,English-Style Brown Ale,United States - Missouri,United States ,8/24/16
Flat Branch Extra Special Bitter,,,English-Style (Extra Special) Strong Bitter,United States - Missouri,United States ,8/24/16
Flat Branch Irish Red Ale,,,Irish-Style Red Ale,United States - Missouri,United States ,8/24/16
Flat Branch HefeWeizen,,,South German-Style Hefeweizen/Hefeweissbier,United States - Missouri,United States ,8/24/16
Flat Branch American Kolsch,,,German-Style Kölsch/Köln-Style Kölsch,United States - Missouri,United States ,8/24/16
Rock & Run Ryeley Porter,,,Rye Beer,United States - Missouri,United States ,8/24/16
Rock & Run Summer Fest Wheat,,,Light American Wheat Beer without Yeast,United States - Missouri,United States ,8/24/16
Rock & Run B-Weisser,,,Berliner-Style Weisse (Wheat),United States - Missouri,United States ,8/24/16
Rock & Run El Dorado Gold,,,Session Beer,United States - Missouri,United States ,8/24/16
Rock & Run Farmhouse Funk,,,French & Belgian-Style Saison,United States - Missouri,United States ,8/24/16
Rock & Run Liberty²,,,Golden or Blonde Ale,United States - Missouri,United States ,8/24/16
Knee Deep Breaking Bud,,,American-Style IPA,United States - California,United States ,8/16/16
Zipline Gose,,,German-Style Sour Ale,United States - Nebraska,United States ,8/16/16
Kinkaider Mosaic Amber Ale,,,American-Style Amber/Red Ale,United States - Nebraska,United States ,8/16/16
Zipline Pilsner,,,German-Style Pilsener,United States - Nebraska,United States ,7/30/16
Ploughshare Kölsch,,,German-Style Kölsch/Köln-Style Kölsch,United States - Nebraska,United States ,7/30/16
Ploughshare Weathervane Witbier,,,Belgian Style White (or Wit) / Belgian-Style Wheat,United States - Nebraska,United States ,7/30/16
Ploughshare Sickle Moon Weizenbock,,,South German-Style Weizenbock/Weissbock,United States - Nebraska,United States ,7/30/16
Ploughshare Devil's Rope Tripel,,,Belgian-Style Tripel,United States - Nebraska,United States ,7/30/16
Ploughshare Schoolmaster Session IPA,,,Session Beer,United States - Nebraska,United States ,7/30/16
Ploughshare St. Monica's Irish Stout,,,Classic Irish-Style Dry Stout,United States - Nebraska,United States ,7/30/16
Ploughshare Bryan's Bowler Schwarzbier,,,German-Style Schwarzbier,United States - Nebraska,United States ,7/30/16
Ploughshare Farm Boy Cream Ale,,,American Lager/Ale or Cream Ale,United States - Nebraska,United States ,7/30/16
Brickway IPL,,,Specialty Beer,United States - Nebraska,United States ,7/19/16
Stone Arch Blind Sided Barley Wine,,,Barley Wine-Style Ale,United States - Wisconsin,United States ,7/1/16
Schell Chimney Sweep,,,Smoke-Flavored Beer,United States - Minnesota,United States ,7/1/16
Wasatch Provo Girl Pilsner,,,American-Style Pilsener,United States - Utah,United States ,7/1/16
